Date,Value
8/1/2024 0:00,0
8/1/2024 0:10,0
8/1/2024 0:20,0
8/1/2024 0:30,0
8/1/2024 0:40,0
8/1/2024 0:50,0
8/1/2024 1:00,0
8/1/2024 1:10,0
8/1/2024 1:20,0
8/1/2024 1:30,0
8/1/2024 1:40,0
8/1/2024 1:50,0
8/1/2024 2:00,0
8/1/2024 2:10,0
8/1/2024 2:20,0
8/1/2024 2:30,0
8/1/2024 2:40,0
8/1/2024 2:50,0
8/1/2024 3:00,0
8/1/2024 3:10,0
8/1/2024 3:20,0
8/1/2024 3:30,0
8/1/2024 3:40,0
8/1/2024 3:50,0
8/1/2024 4:00,0
8/1/2024 4:10,0
8/1/2024 4:20,0
8/1/2024 4:30,0
8/1/2024 4:40,0
8/1/2024 4:50,0
8/1/2024 5:00,0
8/1/2024 5:10,0
8/1/2024 5:20,0
8/1/2024 5:30,0
8/1/2024 5:40,0
8/1/2024 5:50,0
8/1/2024 6:00,0
8/1/2024 6:10,0
8/1/2024 6:20,624
8/1/2024 6:30,751
8/1/2024 6:40,908
8/1/2024 6:50,1122
8/1/2024 7:00,893
8/1/2024 7:10,864
8/1/2024 7:20,1810
8/1/2024 7:30,1321
8/1/2024 7:40,2368
8/1/2024 7:50,2831
8/1/2024 8:00,2114
8/1/2024 8:10,1475
8/1/2024 8:20,2004
8/1/2024 8:30,1958
8/1/2024 8:40,2635
8/1/2024 8:50,2785
8/1/2024 9:00,1839
8/1/2024 9:10,2129
8/1/2024 9:20,1839
8/1/2024 9:30,2814
8/1/2024 9:40,5259
8/1/2024 9:50,3228
8/1/2024 10:00,2002
8/1/2024 10:10,1840
8/1/2024 10:20,4971
8/1/2024 10:30,2879
8/1/2024 10:40,2537
8/1/2024 10:50,3165
8/1/2024 11:00,2705
8/1/2024 11:10,3576
8/1/2024 11:20,2965
8/1/2024 11:30,5578
8/1/2024 11:40,5565
8/1/2024 11:50,3458
8/1/2024 12:00,3168
8/1/2024 12:10,2112
8/1/2024 12:20,2616
8/1/2024 12:30,4572
8/1/2024 12:40,4057
8/1/2024 12:50,4893
8/1/2024 13:00,4144
8/1/2024 13:10,2815
8/1/2024 13:20,5382
8/1/2024 13:30,4572
8/1/2024 13:40,6394
8/1/2024 13:50,4700
8/1/2024 14:00,3224
8/1/2024 14:10,7140
8/1/2024 14:20,6915
8/1/2024 14:30,6826
8/1/2024 14:40,6230
8/1/2024 14:50,2912
8/1/2024 15:00,3998
8/1/2024 15:10,5693
8/1/2024 15:20,3537
8/1/2024 15:30,3305
8/1/2024 15:40,3505
8/1/2024 15:50,2084
8/1/2024 16:00,1684
8/1/2024 16:10,1380
8/1/2024 16:20,1073
8/1/2024 16:30,978
8/1/2024 16:40,917
8/1/2024 16:50,662
8/1/2024 17:00,601
8/1/2024 17:10,520
8/1/2024 17:20,433
8/1/2024 17:30,326
8/1/2024 17:40,0
8/1/2024 17:50,0
8/1/2024 18:00,0
8/1/2024 18:10,0
8/1/2024 18:20,0
8/1/2024 18:30,0
8/1/2024 18:40,0
8/1/2024 18:50,0
8/1/2024 19:00,0
8/1/2024 19:10,0
8/1/2024 19:20,0
8/1/2024 19:30,0
8/1/2024 19:40,0
8/1/2024 19:50,0
8/1/2024 20:00,0
8/1/2024 20:10,0
8/1/2024 20:20,0
8/1/2024 20:30,0
8/1/2024 20:40,0
8/1/2024 20:50,0
8/1/2024 21:00,0
8/1/2024 21:10,0
8/1/2024 21:20,0
8/1/2024 21:30,0
8/1/2024 21:40,0
8/1/2024 21:50,0
8/1/2024 22:00,0
8/1/2024 22:10,0
8/1/2024 22:20,0
8/1/2024 22:30,0
8/1/2024 22:40,0
8/1/2024 22:50,0
8/1/2024 23:00,0
8/1/2024 23:10,0
8/1/2024 23:20,0
8/1/2024 23:30,0
8/1/2024 23:40,0
8/1/2024 23:50,0
8/2/2024 0:00,0
8/2/2024 0:10,0
8/2/2024 0:20,0
8/2/2024 0:30,0
8/2/2024 0:40,0
8/2/2024 0:50,0
8/2/2024 1:00,0
8/2/2024 1:10,0
8/2/2024 1:20,0
8/2/2024 1:30,0
8/2/2024 1:40,0
8/2/2024 1:50,0
8/2/2024 2:00,0
8/2/2024 2:10,0
8/2/2024 2:20,0
8/2/2024 2:30,0
8/2/2024 2:40,0
8/2/2024 2:50,0
8/2/2024 3:00,0
8/2/2024 3:10,0
8/2/2024 3:20,0
8/2/2024 3:30,0
8/2/2024 3:40,0
8/2/2024 3:50,0
8/2/2024 4:00,0
8/2/2024 4:10,0
8/2/2024 4:20,0
8/2/2024 4:30,0
8/2/2024 4:40,0
8/2/2024 4:50,0
8/2/2024 5:00,0
8/2/2024 5:10,0
8/2/2024 5:20,0
8/2/2024 5:30,0
8/2/2024 5:40,0
8/2/2024 5:50,0
8/2/2024 6:00,0
8/2/2024 6:10,0
8/2/2024 6:20,358
8/2/2024 6:30,0
8/2/2024 6:40,578
8/2/2024 6:50,934
8/2/2024 7:00,1012
8/2/2024 7:10,517
8/2/2024 7:20,0
8/2/2024 7:30,2050
8/2/2024 7:40,763
8/2/2024 7:50,445
8/2/2024 8:00,899
8/2/2024 8:10,1113
8/2/2024 8:20,619
8/2/2024 8:30,335
8/2/2024 8:40,1145
8/2/2024 8:50,1402
8/2/2024 9:00,1356
8/2/2024 9:10,6354
8/2/2024 9:20,5990
8/2/2024 9:30,6706
8/2/2024 9:40,6342
8/2/2024 9:50,7534
8/2/2024 10:00,6957
8/2/2024 10:10,4940
8/2/2024 10:20,8239
8/2/2024 10:30,8683
8/2/2024 10:40,8686
8/2/2024 10:50,5245
8/2/2024 11:00,3824
8/2/2024 11:10,3306
8/2/2024 11:20,8091
8/2/2024 11:30,2373
8/2/2024 11:40,431
8/2/2024 11:50,4545
8/2/2024 12:00,4023
8/2/2024 12:10,3916
8/2/2024 12:20,3835
8/2/2024 12:30,4021
8/2/2024 12:40,8441
8/2/2024 12:50,8363
8/2/2024 13:00,7631
8/2/2024 13:10,8137
8/2/2024 13:20,7878
8/2/2024 13:30,7713
8/2/2024 13:40,7742
8/2/2024 13:50,7528
8/2/2024 14:00,7774
8/2/2024 14:10,7331
8/2/2024 14:20,7592
8/2/2024 14:30,1381
8/2/2024 14:40,7070
8/2/2024 14:50,6135
8/2/2024 15:00,5828
8/2/2024 15:10,5539
8/2/2024 15:20,5245
8/2/2024 15:30,4909
8/2/2024 15:40,4545
8/2/2024 15:50,4171
8/2/2024 16:00,3870
8/2/2024 16:10,3563
8/2/2024 16:20,3198
8/2/2024 16:30,2796
8/2/2024 16:40,2445
8/2/2024 16:50,2185
8/2/2024 17:00,1942
8/2/2024 17:10,1728
8/2/2024 17:20,1415
8/2/2024 17:30,885
8/2/2024 17:40,350
8/2/2024 17:50,0
8/2/2024 18:00,0
8/2/2024 18:10,0
8/2/2024 18:20,0
8/2/2024 18:30,0
8/2/2024 18:40,0
8/2/2024 18:50,0
8/2/2024 19:00,0
8/2/2024 19:10,0
8/2/2024 19:20,0
8/2/2024 19:30,0
8/2/2024 19:40,0
8/2/2024 19:50,0
8/2/2024 20:00,0
8/2/2024 20:10,0
8/2/2024 20:20,0
8/2/2024 20:30,0
8/2/2024 20:40,0
8/2/2024 20:50,0
8/2/2024 21:00,0
8/2/2024 21:10,0
8/2/2024 21:20,0
8/2/2024 21:30,0
8/2/2024 21:40,0
8/2/2024 21:50,0
8/2/2024 22:00,0
8/2/2024 22:10,0
8/2/2024 22:20,0
8/2/2024 22:30,0
8/2/2024 22:40,0
8/2/2024 22:50,0
8/2/2024 23:00,0
8/2/2024 23:10,0
8/2/2024 23:20,0
8/2/2024 23:30,0
8/2/2024 23:40,0
8/2/2024 23:50,0
8/3/2024 0:00,0
8/3/2024 0:10,0
8/3/2024 0:20,0
8/3/2024 0:30,0
8/3/2024 0:40,0
8/3/2024 0:50,0
8/3/2024 1:00,0
8/3/2024 1:10,0
8/3/2024 1:20,0
8/3/2024 1:30,0
8/3/2024 1:40,0
8/3/2024 1:50,0
8/3/2024 2:00,0
8/3/2024 2:10,0
8/3/2024 2:20,0
8/3/2024 2:30,0
8/3/2024 2:40,0
8/3/2024 2:50,0
8/3/2024 3:00,0
8/3/2024 3:10,0
8/3/2024 3:20,0
8/3/2024 3:30,0
8/3/2024 3:40,0
8/3/2024 3:50,0
8/3/2024 4:00,0
8/3/2024 4:10,0
8/3/2024 4:20,0
8/3/2024 4:30,0
8/3/2024 4:40,0
8/3/2024 4:50,0
8/3/2024 5:00,0
8/3/2024 5:10,0
8/3/2024 5:20,0
8/3/2024 5:30,0
8/3/2024 5:40,0
8/3/2024 5:50,0
8/3/2024 6:00,0
8/3/2024 6:10,0
8/3/2024 6:20,0
8/3/2024 6:30,390
8/3/2024 6:40,659
8/3/2024 6:50,766
8/3/2024 7:00,1483
8/3/2024 7:10,1038
8/3/2024 7:20,1226
8/3/2024 7:30,1677
8/3/2024 7:40,2579
8/3/2024 7:50,838
8/3/2024 8:00,3832
8/3/2024 8:10,2904
8/3/2024 8:20,4599
8/3/2024 8:30,4157
8/3/2024 8:40,4599
8/3/2024 8:50,5211
8/3/2024 9:00,5500
8/3/2024 9:10,2266
8/3/2024 9:20,6010
8/3/2024 9:30,6772
8/3/2024 9:40,2139
8/3/2024 9:50,7355
8/3/2024 10:00,2689
8/3/2024 10:10,7566
8/3/2024 10:20,7722
8/3/2024 10:30,7627
8/3/2024 10:40,7770
8/3/2024 10:50,7952
8/3/2024 11:00,8441
8/3/2024 11:10,8480
8/3/2024 11:20,1641
8/3/2024 11:30,4270
8/3/2024 11:40,6138
8/3/2024 11:50,6123
8/3/2024 12:00,6184
8/3/2024 12:10,7438
8/3/2024 12:20,2330
8/3/2024 12:30,5098
8/3/2024 12:40,8278
8/3/2024 12:50,8572
8/3/2024 13:00,2667
8/3/2024 13:10,8234
8/3/2024 13:20,7947
8/3/2024 13:30,7872
8/3/2024 13:40,7794
8/3/2024 13:50,7426
8/3/2024 14:00,7490
8/3/2024 14:10,5378
8/3/2024 14:20,6769
8/3/2024 14:30,6769
8/3/2024 14:40,6525
8/3/2024 14:50,5818
8/3/2024 15:00,6093
8/3/2024 15:10,5863
8/3/2024 15:20,2238
8/3/2024 15:30,4210
8/3/2024 15:40,4467
8/3/2024 15:50,3963
8/3/2024 16:00,1820
8/3/2024 16:10,2614
8/3/2024 16:20,1893
8/3/2024 16:30,2868
8/3/2024 16:40,2474
8/3/2024 16:50,1146
8/3/2024 17:00,642
8/3/2024 17:10,382
8/3/2024 17:20,0
8/3/2024 17:30,0
8/3/2024 17:40,0
8/3/2024 17:50,0
8/3/2024 18:00,0
8/3/2024 18:10,0
8/3/2024 18:20,0
8/3/2024 18:30,0
8/3/2024 18:40,0
8/3/2024 18:50,0
8/3/2024 19:00,0
8/3/2024 19:10,0
8/3/2024 19:20,0
8/3/2024 19:30,0
8/3/2024 19:40,0
8/3/2024 19:50,0
8/3/2024 20:00,0
8/3/2024 20:10,0
8/3/2024 20:20,0
8/3/2024 20:30,0
8/3/2024 20:40,0
8/3/2024 20:50,0
8/3/2024 21:00,0
8/3/2024 21:10,0
8/3/2024 21:20,0
8/3/2024 21:30,0
8/3/2024 21:40,0
8/3/2024 21:50,0
8/3/2024 22:00,0
8/3/2024 22:10,0
8/3/2024 22:20,0
8/3/2024 22:30,0
8/3/2024 22:40,0
8/3/2024 22:50,0
8/3/2024 23:00,0
8/3/2024 23:10,0
8/3/2024 23:20,0
8/3/2024 23:30,0
8/3/2024 23:40,0
8/3/2024 23:50,0
8/4/2024 0:00,0
8/4/2024 0:10,0
8/4/2024 0:20,0
8/4/2024 0:30,0
8/4/2024 0:40,0
8/4/2024 0:50,0
8/4/2024 1:00,0
8/4/2024 1:10,0
8/4/2024 1:20,0
8/4/2024 1:30,0
8/4/2024 1:40,0
8/4/2024 1:50,0
8/4/2024 2:00,0
8/4/2024 2:10,0
8/4/2024 2:20,0
8/4/2024 2:30,0
8/4/2024 2:40,0
8/4/2024 2:50,0
8/4/2024 3:00,0
8/4/2024 3:10,0
8/4/2024 3:20,0
8/4/2024 3:30,0
8/4/2024 3:40,0
8/4/2024 3:50,0
8/4/2024 4:00,0
8/4/2024 4:10,0
8/4/2024 4:20,0
8/4/2024 4:30,0
8/4/2024 4:40,0
8/4/2024 4:50,0
8/4/2024 5:00,0
8/4/2024 5:10,0
8/4/2024 5:20,0
8/4/2024 5:30,0
8/4/2024 5:40,0
8/4/2024 5:50,0
8/4/2024 6:00,0
8/4/2024 6:10,0
8/4/2024 6:20,344
8/4/2024 6:30,0
8/4/2024 6:40,1226
8/4/2024 6:50,1529
8/4/2024 7:00,994
8/4/2024 7:10,1758
8/4/2024 7:20,1286
8/4/2024 7:30,934
8/4/2024 7:40,798
8/4/2024 7:50,2126
8/4/2024 8:00,4014
8/4/2024 8:10,1784
8/4/2024 8:20,1845
8/4/2024 8:30,2247
8/4/2024 8:40,2140
8/4/2024 8:50,2872
8/4/2024 9:00,2843
8/4/2024 9:10,2843
8/4/2024 9:20,3191
8/4/2024 9:30,4229
8/4/2024 9:40,1371
8/4/2024 9:50,5104
8/4/2024 10:00,2120
8/4/2024 10:10,7303
8/4/2024 10:20,2520
8/4/2024 10:30,2520
8/4/2024 10:40,2063
8/4/2024 10:50,-765
8/4/2024 11:00,7779
8/4/2024 11:10,2156
8/4/2024 11:20,549
8/4/2024 11:30,1849
8/4/2024 11:40,2720
8/4/2024 11:50,4888
8/4/2024 12:00,2981
8/4/2024 12:10,3027
8/4/2024 12:20,2781
8/4/2024 12:30,7137
8/4/2024 12:40,1910
8/4/2024 12:50,4144
8/4/2024 13:00,2642
8/4/2024 13:10,4663
8/4/2024 13:20,7952
8/4/2024 13:30,8045
8/4/2024 13:40,2127
8/4/2024 13:50,3595
8/4/2024 14:00,2796
8/4/2024 14:10,7677
8/4/2024 14:20,2321
8/4/2024 14:30,1638
8/4/2024 14:40,6852
8/4/2024 14:50,1684
8/4/2024 15:00,6898
8/4/2024 15:10,6623
8/4/2024 15:20,6041
8/4/2024 15:30,2266
8/4/2024 15:40,2845
8/4/2024 15:50,3013
8/4/2024 16:00,4053
8/4/2024 16:10,3991
8/4/2024 16:20,3606
8/4/2024 16:30,3059
8/4/2024 16:40,1528
8/4/2024 16:50,1172
8/4/2024 17:00,732
8/4/2024 17:10,474
8/4/2024 17:20,0
8/4/2024 17:30,0
8/4/2024 17:40,0
8/4/2024 17:50,0
8/4/2024 18:00,0
8/4/2024 18:10,0
8/4/2024 18:20,0
8/4/2024 18:30,0
8/4/2024 18:40,0
8/4/2024 18:50,0
8/4/2024 19:00,0
8/4/2024 19:10,0
8/4/2024 19:20,0
8/4/2024 19:30,0
8/4/2024 19:40,0
8/4/2024 19:50,0
8/4/2024 20:00,0
8/4/2024 20:10,0
8/4/2024 20:20,0
8/4/2024 20:30,0
8/4/2024 20:40,0
8/4/2024 20:50,0
8/4/2024 21:00,0
8/4/2024 21:10,0
8/4/2024 21:20,0
8/4/2024 21:30,0
8/4/2024 21:40,0
8/4/2024 21:50,0
8/4/2024 22:00,0
8/4/2024 22:10,0
8/4/2024 22:20,0
8/4/2024 22:30,0
8/4/2024 22:40,0
8/4/2024 22:50,0
8/4/2024 23:00,0
8/4/2024 23:10,0
8/4/2024 23:20,0
8/4/2024 23:30,0
8/4/2024 23:40,0
8/4/2024 23:50,0
8/5/2024 0:00,0
8/5/2024 0:10,0
8/5/2024 0:20,0
8/5/2024 0:30,0
8/5/2024 0:40,0
8/5/2024 0:50,0
8/5/2024 1:00,0
8/5/2024 1:10,0
8/5/2024 1:20,0
8/5/2024 1:30,0
8/5/2024 1:40,0
8/5/2024 1:50,0
8/5/2024 2:00,0
8/5/2024 2:10,0
8/5/2024 2:20,0
8/5/2024 2:30,0
8/5/2024 2:40,0
8/5/2024 2:50,0
8/5/2024 3:00,0
8/5/2024 3:10,0
8/5/2024 3:20,0
8/5/2024 3:30,0
8/5/2024 3:40,0
8/5/2024 3:50,0
8/5/2024 4:00,0
8/5/2024 4:10,0
8/5/2024 4:20,0
8/5/2024 4:30,0
8/5/2024 4:40,0
8/5/2024 4:50,0
